"Report Name","Document comment Annotator 1","Document comment Annotator 2","Document-level expert adjudication requested by at least 1 annotator","Expert ID 1.g1","Expert ID 2.g1","Expert document comment.g1","started.g1","ended.g1","ID","Page used","LLM Year","LLM Scope","LLM Value","LLM Unit","row_expert_requested_by_at_least_one_annotator_or_disagreement","Value correct (Yes/No) Ann 1","Value corrected Ann 1","Corrected page Ann 1","Value correct (Yes/No) Ann 2","Value corrected Ann 2","Corrected page Ann 2","Value: Who is right?.g1","Value corrected (fill in if necessary).g1","Value Reasoning (select if necessary, if multiple apply choose first).g1","Unit correct (Yes/No) Ann 1","Unit corrected Ann 1","Unit correct (Yes/No) Ann 2","Unit corrected Ann 2","Unit: Who is right?.g1","Unit corrected (fill in if necessary).g1","Unit reasoning  (select if necessary, if multiple apply choose first).g1","Comment Ann1","Comment Ann2","Page corrected (fill in if necessary).g1","Expert comment.g1","Unclear record (Yes/No).g1","true_value.g1","true_unit.g1","true_page.g1","Expert ID 1.g2","Expert ID 2.g2","Expert document comment.g2","started.g2","ended.g2","Value: Who is right?.g2","Value corrected (fill in if necessary).g2","Value Reasoning (select if necessary, if multiple apply choose first).g2","Unit: Who is right?.g2","Unit corrected (fill in if necessary).g2","Unit reasoning  (select if necessary, if multiple apply choose first).g2","Page corrected (fill in if necessary).g2","Expert comment.g2","Unclear record (Yes/No).g2","true_value.g2","true_unit.g2","true_page.g2","agreement_value","agreement_unit","agreement_page","agreement_value_unit","agreement_value_unit_page","at_least_one_group_flagged_unclear","Value Ann 1","Value Ann 2","Unit Ann 1","Unit Ann 2","row_disagreement_value_unit_page_or_unclear"
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","No","13.0","12.0","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct","17:17:00","17:34:00","1",NA,2013,"1",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"11.0","14.0",NA,"15:35:59","15:43:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,FALSE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","No","13.0","12.0","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct","17:17:00","17:34:00","2",NA,2014,"1",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"11.0","14.0",NA,"15:35:59","15:43:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,FALSE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","No","13.0","12.0","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct","17:17:00","17:34:00","3",NA,2015,"1",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"11.0","14.0",NA,"15:35:59","15:43:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,FALSE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","No","13.0","12.0","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct","17:17:00","17:34:00","4",NA,2016,"1",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"11.0","14.0",NA,"15:35:59","15:43:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,FALSE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","No","13.0","12.0","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct","17:17:00","17:34:00","5",NA,2017,"1",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"11.0","14.0",NA,"15:35:59","15:43:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,FALSE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","No","13.0","12.0","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct","17:17:00","17:34:00","6",NA,2018,"1",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"11.0","14.0",NA,"15:35:59","15:43:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,FALSE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","No","13.0","12.0","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct","17:17:00","17:34:00","7","68",2019,"1",0,"tCO2e","Yes","No",14733,"69","No",NA,NA,"Ann1",NA,NA,"Yes",NA,"No",NA,"Ann1",NA,NA,NA,NA,"66.0","Emissions mentioned on page 66, on 68 and 69 the values 0 are stated, which is correct or not","No",14733,"tCO2e","66.0","11.0","14.0",NA,"15:35:59","15:43:00","Ann2",NA,"2. WV: Extracted value is not related to the whole company","Ann2",NA,"2. WV: Extracted value is not related to the whole company",NA,NA,"No",NA,NA,"68",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14733,NA,"tCO2e",NA,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","No","13.0","12.0","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct","17:17:00","17:34:00","8","69",2019,"1",0,"tCO2e","Yes","No",14733,NA,"No",NA,NA,"Ann1",NA,NA,"Yes",NA,"No",NA,"Ann1",NA,NA,NA,NA,"66.0","Emissions mentioned on page 66, on 68 and 69 the values 0 are stated, which is correct or not","No",14733,"tCO2e","66.0","11.0","14.0",NA,"15:35:59","15:43:00","Ann2",NA,"2. WV: Extracted value is not related to the whole company","Ann2",NA,"2. WV: Extracted value is not related to the whole company",NA,NA,"No",NA,NA,"69",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14733,NA,"tCO2e",NA,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","No","13.0","12.0","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct","17:17:00","17:34:00","10","69",2020,"1",0,"tCO2e","Yes","No",13029,NA,"No",NA,NA,"Ann1",NA,NA,"Yes",NA,"No",NA,"Ann1",NA,NA,NA,NA,"66.0","Emissions mentioned on page 66, on 68 and 69 the values 0 are stated, which is correct or not","No",13029,"tCO2e","66.0","11.0","14.0",NA,"15:35:59","15:43:00","Ann2",NA,"2. WV: Extracted value is not related to the whole company","Ann2",NA,"2. WV: Extracted value is not related to the whole company",NA,NA,"No",NA,NA,"69",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13029,NA,"tCO2e",NA,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","No","13.0","12.0","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct","17:17:00","17:34:00","9","68",2020,"1",0,"tCO2e","Yes","No",13029,"69","No",NA,NA,"Ann1",NA,NA,"Yes",NA,"No",NA,"Ann1",NA,NA,NA,NA,"66.0","Emissions mentioned on page 66, on 68 and 69 the values 0 are stated, which is correct or not","No",13029,"tCO2e","66.0","11.0","14.0",NA,"15:35:59","15:43:00","Ann2",NA,"2. WV: Extracted value is not related to the whole company","Ann2",NA,"2. WV: Extracted value is not related to the whole company",NA,NA,"No",NA,NA,"68",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13029,NA,"tCO2e",NA,TRUE
